URL,MELI_USERNAME,PURCHASE_DATETIME,PRICE
https://meli.me/mla/mla34407293?aff=emmadiaz3198,buyer_3678641,2026-02-24 00:01:54,42584.72
https://meli.me/mlb/mlb79163579?aff=gabrielalves8705,buyer_5909773,2026-02-26 21:51:51,2065.12
https://meli.me/mlb/mlb55118719?aff=gabrielalves8705,buyer_1783573,2026-02-19 08:48:21,2429.95
https://meli.me/mlb/mlb13106056?aff=gabrielalves8705,buyer_7026143,2026-02-15 21:15:58,2007.03
https://meli.me/mlc/mlc74521947?aff=matiasperez7188,buyer_3069588,2026-03-14 18:51:23,190460.5
https://meli.me/mlc/mlc96779127?aff=javierasilva628,buyer_1620213,2026-03-04 18:09:50,155267.96
https://meli.me/mlm/mlm72977477?aff=marianaramirez8060,buyer_2536202,2026-02-21 21:22:07,3503.61
https://meli.me/mlb/mlb68066735?aff=beatrizribeiro8680,buyer_2930713,2026-03-15 04:44:38,1343.57
https://meli.me/mlm/mlm40930283?aff=rodrigoramirez1426,buyer_2428537,2026-03-02 04:56:49,14638.62
https://meli.me/mlm/mlm40930283?aff=rodrigoramirez1426,buyer_5256772,2026-03-06 11:42:31,10345.75
https://meli.me/mlm/mlm40930283?aff=rodrigoramirez1426,buyer_9579645,2026-02-26 19:01:56,12398.68
https://meli.me/mlm/mlm76858830?aff=rodrigoramirez1426,buyer_7866655,2026-03-03 01:30:08,14912.32
https://meli.me/mlc/mlc72367768?aff=camiladiaz9316,buyer_4161099,2026-03-14 19:43:09,4854.14
https://meli.me/mlb/mlb34064423?aff=guilhermeribeiro8488,buyer_4799517,2026-03-14 13:49:33,1444.76
https://meli.me/mlb/mlb34064423?aff=guilhermeribeiro8488,buyer_4298686,2026-03-17 18:23:02,2729.38
https://meli.me/mlb/mlb86155265?aff=larissaalves5795,buyer_5816324,2026-02-06 06:08:34,1617.94
https://meli.me/mlb/mlb86155265?aff=larissaalves5795,buyer_9740511,2026-01-22 19:12:03,498.18
https://meli.me/mlb/mlb44109684?aff=larissaalves5795,buyer_7657007,2026-02-28 01:35:05,1671.24
https://meli.me/mlb/mlb17069628?aff=larissaalves9441,buyer_8613285,2026-02-08 20:07:34,2874.62
https://meli.me/mlb/mlb64821080?aff=larissaalves9441,buyer_8891698,2026-03-10 09:19:24,568.51
https://meli.me/mlc/mlc47078114?aff=matiasflores6934,buyer_7576317,2026-02-07 14:53:16,30424.98
https://meli.me/mlc/mlc47078114?aff=matiasflores6934,buyer_9501427,2026-01-19 14:25:42,51189.85
https://meli.me/mlc/mlc75065647?aff=matiasflores6934,buyer_3003368,2026-03-11 20:31:12,184699.53
https://meli.me/mlc/mlc75065647?aff=matiasflores6934,buyer_3722736,2026-01-14 02:14:58,156445.55
https://meli.me/mlc/mlc75065647?aff=matiasflores6934,buyer_2197705,2026-03-14 01:20:00,105260.89
https://meli.me/mlc/mlc75065647?aff=matiasflores6934,buyer_9244383,2026-03-10 02:52:26,178796.58
https://meli.me/mlc/mlc37122612?aff=matiasflores6934,buyer_5144896,2026-02-02 05:01:23,85869.48
https://meli.me/mlc/mlc37122612?aff=matiasflores6934,buyer_2856135,2026-02-10 17:42:53,22004.33
https://meli.me/mlc/mlc37122612?aff=matiasflores6934,buyer_8073214,2026-02-01 13:38:28,104298.47
https://meli.me/mlc/mlc37122612?aff=matiasflores6934,buyer_1788515,2026-02-07 06:17:39,141977.39
https://meli.me/mlm/mlm28548451?aff=marianalopez5211,buyer_7083947,2026-03-12 19:29:17,12527.47
https://meli.me/mlm/mlm36969167?aff=marianalopez5211,buyer_2942448,2026-02-24 05:04:58,13477.66
https://meli.me/mlm/mlm43922542?aff=karlamartinez1584,buyer_7143010,2026-02-28 19:13:00,10610.28
